frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
207,1,1,0.841,1.000,-0.1203
208,1,1,0.863,1.000,-0.1190
209,1,1,0.890,1.000,-0.1132
210,1,1,0.912,1.000,-0.1086
211,1,1,0.930,1.000,-0.1076
212,1,1,0.904,1.000,-0.1141
213,1,1,0.883,1.000,-0.1194
214,1,1,0.896,1.000,-0.1247
215,1,1,0.907,1.000,-0.1289
216,1,1,0.856,1.000,-0.1248
217,1,1,0.815,1.000,-0.1216
218,1,1,0.782,1.000,-0.1201
219,1,1,0.755,1.000,-0.1188
220,1,1,0.804,1.000,-0.1232
221,1,1,0.803,1.000,-0.1234
222,1,1,0.803,1.000,-0.1237
223,1,1,0.832,1.000,-0.1244
224,1,1,0.856,1.000,-0.1249
225,1,1,0.845,1.000,-0.1217
226,1,1,0.836,1.000,-0.1191
227,1,1,0.799,1.000,-0.1154
228,1,1,0.799,1.000,-0.1151
229,1,1,0.799,1.000,-0.1149
230,1,1,0.829,1.000,-0.1131
231,1,1,0.853,1.000,-0.1117
232,1,1,0.883,1.000,-0.1100
233,1,1,0.906,1.000,-0.1076
234,1,1,0.885,1.000,-0.1078
235,1,1,0.898,1.000,-0.1069
236,1,1,0.908,1.000,-0.1062
237,1,1,0.917,1.000,-0.1083
238,1,1,0.923,1.000,-0.1100
239,1,1,0.929,1.000,-0.1055
240,1,1,0.903,1.000,-0.1003
241,1,1,0.912,1.000,-0.1030
242,1,1,0.920,1.000,-0.1052
243,1,1,0.936,1.000,-0.1075
244,1,1,0.939,1.000,-0.1013
245,1,1,0.941,1.000,-0.0964
246,1,1,0.953,1.000,-0.0931
247,1,1,0.962,1.000,-0.0903
248,1,1,0.960,1.000,-0.0903
249,1,1,0.958,1.000,-0.0908
250,1,1,0.926,1.000,-0.0938
251,1,1,0.941,1.000,-0.0968
252,1,1,0.913,1.000,-0.0986
253,1,1,0.920,1.000,-0.0985
254,1,1,0.926,1.000,-0.0984
255,1,1,0.901,1.000,-0.0983
256,1,1,0.921,1.000,-0.0972
257,1,1,0.937,1.000,-0.0963
258,1,1,0.949,1.000,-0.0967
259,1,1,0.959,1.000,-0.0975
260,1,1,0.928,1.000,-0.0987
261,1,1,0.902,1.000,-0.0996
262,1,1,0.912,1.000,-0.0982
263,1,1,0.929,1.000,-0.0982
264,1,1,0.933,1.000,-0.0982
265,1,1,0.937,1.000,-0.0981
266,1,1,0.949,1.000,-0.1024
267,1,1,0.950,1.000,-0.1031
268,1,1,0.950,1.000,-0.1037
269,1,1,0.960,1.000,-0.1047
270,1,1,0.968,1.000,-0.1055
